BKMeans_Labels,Opponent_Cluster,Draw,Lose,Win
0,0,30.252100840336134,34.87394957983193,34.87394957983193
0,1,24.539877300613497,49.233128834355824,26.226993865030675
0,2,16.80327868852459,74.18032786885246,9.01639344262295
1,0,24.539877300613497,26.226993865030675,49.233128834355824
1,1,23.504273504273502,38.24786324786324,38.24786324786324
1,2,24.22680412371134,57.73195876288659,18.04123711340206
2,0,16.80327868852459,9.01639344262295,74.18032786885246
2,1,24.22680412371134,18.04123711340206,57.73195876288659
2,2,26.923076923076923,36.53846153846153,36.53846153846153
