KMeans_Labels,Opponent_Cluster,Draw,Lose,Win
0,0,21.867881548974943,39.066059225512525,39.066059225512525
0,1,17.94871794871795,58.4045584045584,23.646723646723647
0,2,25.862068965517242,44.827586206896555,29.310344827586203
1,0,17.94871794871795,23.646723646723647,58.4045584045584
1,1,26.548672566371685,36.72566371681416,36.72566371681416
1,2,32.19178082191781,25.34246575342466,42.465753424657535
2,0,25.862068965517242,29.310344827586203,44.827586206896555
2,1,32.19178082191781,42.465753424657535,25.34246575342466
2,2,27.571115973741794,36.21444201312911,36.21444201312911
