KMeans_Labels,Opponent_Cluster,Draw,Lose,Win
0,0,18.461538461538463,40.76923076923077,40.76923076923077
0,1,23.167848699763592,30.023640661938533,46.808510638297875
0,2,22.666666666666664,26.666666666666668,50.66666666666667
1,0,23.167848699763592,46.808510638297875,30.023640661938533
1,1,34.806629834254146,32.59668508287293,32.59668508287293
1,2,28.328611898016998,37.6770538243626,33.994334277620396
2,0,22.666666666666664,50.66666666666667,26.666666666666668
2,1,28.328611898016998,33.994334277620396,37.6770538243626
2,2,22.22222222222222,38.88888888888889,38.88888888888889
