name,country
Newcastle United,England
Celta de Vigo,Spain
Espanyol,Spain
Deportivo Alav\u00e9s,Spain
Levante,Spain
Troyes,France
Getafe,Spain
Borussia M'gladbach,Germany
Huddersfield Town,England
Athletic Club,Spain
Atl\u00e9tico Madrid,Spain
Olympique Lyonnais,France
PSG,France
Valencia,Spain
Real Madrid,Spain
Barcelona,Spain
Las Palmas,Spain
Legan\u00e9s,Spain
SPAL,Italy
Swansea City,Wales
Olympique Marseille,France
Nantes,France
Nice,France
Rennes,France
Strasbourg,France
Eibar,Spain
AFC Bournemouth,England
Brighton & Hove Albion,England
Werder Bremen,Germany
Bayer Leverkusen,Germany
Borussia Dortmund,Germany
Bayern M\u00fcnchen,Germany
Stuttgart,Germany
Schalke 04,Germany
Milan,Italy
Angers,France
Juventus,Italy
Roma,Italy
Sassuolo,Italy
Burnley,England
Bordeaux,France
Hannover 96,Germany
Dijon,France
Hertha BSC,Germany
Wolfsburg,Germany
Hamburger SV,Germany
Freiburg,Germany
Bologna,Italy
Metz,France
Sampdoria,Italy
Chievo,Italy
Lazio,Italy
Udinese,Italy
Internazionale,Italy
Leicester City,England
West Ham United,England
Stoke City,England
Benevento,Italy
Saint-\u00c9tienne,France
Girona,Spain
Watford,England
Hoffenheim,Germany
Cagliari,Italy
Atalanta,Italy
Fiorentina,Italy
Everton,England
West Bromwich Albion,England
Manchester City,England
Tottenham Hotspur,England
Augsburg,Germany
Crystal Palace,England
Monaco,Monaco
Mainz 05,Germany
Lille,France
Eintracht Frankfurt,Germany
Southampton,England
K\u00f6ln,Germany
Liverpool,England
Chelsea,England
Manchester United,England
Torino,Italy
Napoli,Italy
Deportivo La Coru\u00f1a,Spain
RB Leipzig,Germany
Arsenal,England
Caen,France
Toulouse,France
Montpellier,France
Guingamp,France
Amiens SC,France
Crotone,Italy
Hellas Verona,Italy
Genoa,Italy
Real Betis,Spain
Real Sociedad,Spain
Sevilla,Spain
M\u00e1laga,Spain
Villarreal,Spain
Korea Republic,Korea Republic
Hungary,Hungary
Turkey,Turkey
Russia,Russia
Sweden,Sweden
Tunisia,Tunisia
Brazil,Brazil
Germany,Germany
Albania,Albania
Romania,Romania
Ukraine,Ukraine
Morocco,Morocco
Slovakia,Slovakia
Colombia,Colombia
Panama,Panama
Australia,Australia
Argentina,Argentina
Northern Ireland,Northern Ireland
Portugal,Portugal
Belgium,Belgium
Denmark,Denmark
Uruguay,Uruguay
Wales,Wales
Costa Rica,Costa Rica
England,England
Egypt,Egypt
Japan,Japan
Iran,Iran
Austria,Austria
Iceland,Iceland
Croatia,Croatia
Mexico,Mexico
Republic of Ireland,Ireland Republic
Czech Republic,Czech Republic
Senegal,Senegal
Italy,Italy
Peru,Peru
France,France
Saudi Arabia,Saudi Arabia
Spain,Spain
Serbia,Serbia
Switzerland,Switzerland
Poland,Poland
Nigeria,Nigeria
